start,title,source,region,location,tags,topic,city,priority_score,url
2026-06-24T00:00:00+00:00,CyberRisk CISO Dinner: Los Angeles,CyberRisk Alliance Events,US,"Los Angeles, US","ciso, cyber, risk, security",broad,other-us,10,https://www.cyberriskalliance.com/events
2026-06-24T00:00:00+00:00,Virtual Summit: AI for next-gen SOC,CyberRisk Alliance Events,US,Online,"ciso, cyber, risk, security",broad,other-us,10,https://www.cyberriskalliance.com/events
2026-06-24T00:00:00+00:00,"Atlanta Healthcare, Pharma & Business Networking Event",Eventbrite Atlanta Healthcare,US,"3301 Lenox Parkway, Atlanta, GA, US","health, healthcare",health,atlanta,9,https://www.eventbrite.ca/e/atlanta-healthcare-pharma-business-networking-event-tickets-1989857928630
2026-06-24T00:30:00+00:00,"Deep Tech Undergound by Alta, Stifel & Sequoia",Luma SF Discover,Bay Area,"San Francisco, California, US",tech,broad,sf,9,https://luma.com/ew1byl0d
2026-06-24T01:00:00+00:00,How AI-Native Collaboration Is Changing How Teams Build,Luma SF Discover,Bay Area,"San Francisco, California, US",ai,broad,sf,9,https://luma.com/0h79d4y3
2026-06-24T14:00:00+00:00,[Summer 2026] ISACA Advanced in AI Audit (AAIA) Certification Review Course | June 24 & 25,ISACA Chicago,US,,"risk, security",broad,other-us,5,https://engage.isaca.org/chicagochapter/events/calendar
2026-06-24T15:00:00+00:00,Underground Hacks,AI Security Engineers SF Bay Area,Bay Area,"Radocha, Kraków, Województwo małopolskie, PL","ai security, security",broad,sf,16,https://luma.com/aiseceng-05sz
2026-06-24T21:00:00+00:00,Agentic Alpha: Engineering High-Velocity Autonomy in a Millisecond Economy,Luma NYC Discover,US,"New York, New York, US",agentic,broad,nyc,1,https://luma.com/qydwq3g4
2026-06-24T22:00:00+00:00,Please Waste My Time: Detection through Deception,OWASP Atlanta,US,"Hybrid SandboxATL, 483 Moreland Ave NE, Third Floor, Atlanta, GA, US Red teamers rely on predictability; predictable enumeration paths, predictable credential locations, predictable network behavior. Deception defense exploits exactly that. This talk+workshop is a practical guide to wasting a red teamer's time, told by someone who has been on both sides of it. I've tripped honeypots mid-engagement. I've also built them. That dual perspective shapes everything in this session. We'll cover a tiered deception stack: Active Directory honey users and honey SPNs designed to catch Kerberoasting and lateral movement; canary tokens embedded in documents, file shares, and source code repositories; honey API endpoints and SSRF detection triggers for AppSec teams; and — newer territory — deception techniques purpose-built for AI systems, including canary instructions in LLM system prompts, honey documents in RAG pipelines, and fake AI API keys that alert when someone finds them. The talk includes hands-on exercises. Attendees will generate, plant, and trigger their own canary tokens during the session and leave with a working mental model for building a deception program, not just deploying a one-off trick.","application security, appsec, security",broad,atlanta,3,https://www.meetup.com/owasp-atlanta/events/314667793/?eventOrigin=group_upcoming_events
2026-06-24T22:00:00+00:00,AI Engineers Presents: Fonzi's Founders to Follow,Luma NYC Discover,US,"Brooklyn, New York, US",ai,broad,nyc,1,https://luma.com/lo17rr1c
2026-06-24T22:00:00+00:00,NYC AI Demos #10: VENTURE SPOTLIGHT,Luma NYC Discover,US,"The Refinery at Domino Offices, Brooklyn, New York, US",ai,broad,nyc,1,https://luma.com/nyc10
2026-06-25T00:00:00+00:00,SF Startup & Tech Mixer 2026,Eventbrite SF Fintech,US,"52 Belden Place, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-startup-tech-mixer-2026-tickets-1989115014554
2026-06-25T00:00:00+00:00,New York EVO VC & Startups Social,Eventbrite NYC Fintech,US,"1535 Broadway, New York, NY, US",fintech,fintech,sf,11,https://www.eventbrite.com/e/new-york-evo-vc-startups-social-tickets-1991030601125
2026-06-25T00:00:00+00:00,NYC | The Session: Healthcare Mixer,Eventbrite NYC Healthcare,US,"987 2nd Avenue, New York, NY, US","health, healthcare",health,nyc,9,https://www.eventbrite.com/e/nyc-the-session-healthcare-mixer-tickets-1991988442053
2026-06-25T00:00:00+00:00,13th Annual Columbia Venture Community Pitch Night NYC,Eventbrite NYC Fintech,US,"1251 6th Avenue, New York, NY, US",fintech,fintech,nyc,8,https://www.eventbrite.com/e/13th-annual-columbia-venture-community-pitch-night-nyc-tickets-1988733837443
2026-06-25T00:00:00+00:00,Chicago Tech Mixer 2026,Eventbrite Chicago Fintech,US,"168 North Michigan Avenue, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/chicago-tech-mixer-2026-tickets-1990585873934
2026-06-25T00:00:00+00:00,Master AI Entrepreneurship - From A to Z Masterclass,Eventbrite NYC Fintech,US,"Manhattan, New York, NY, US",fintech,fintech,nyc,8,https://www.eventbrite.com/e/master-ai-entrepreneurship-from-a-to-z-masterclass-tickets-1981481292887
2026-06-25T00:00:00+00:00,TechSpecialists: AIDataTech TechNetworking Mixer - Connect & Grow! - Chicago,Eventbrite Chicago Fintech,US,"TBD, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/techspecialists-aidatatech-technetworking-mixer-connect-grow-chicago-tickets-1990487698288
2026-06-25T00:00:00+00:00,Women in Tech Chicago 2026,Eventbrite Chicago Fintech,US,"168 North Michigan Avenue, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/women-in-tech-chicago-2026-tickets-1990585877946
2026-06-26T00:00:00+00:00,Aligned High Level Networking & Panel Discussion,Eventbrite Atlanta Fintech,US,"504 Fair Street Southwest, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/aligned-high-level-networking-panel-discussion-tickets-1990638280684
2026-06-26T00:00:00+00:00,FinTech & Crypto Networking dinner,Eventbrite Atlanta Fintech,US,"3330 Piedmont Road Northeast, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/fintech-crypto-networking-dinner-tickets-1988373611999
2026-06-26T00:00:00+00:00,"Tech, AI & Startups Roundtable Discussion Dinner",Eventbrite Atlanta Fintech,US,"3330 Piedmont Road Northeast, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/tech-ai-startups-roundtable-discussion-dinner-tickets-1988373813602
2026-06-26T00:00:00+00:00,️ NYC Cybersecurity & InfoSec Social Mixer – Every Friday @ 7PM,Eventbrite NYC Cybersecurity,US,"17 John Street, New York, NY, US","cyber, cybersecurity, infosec, security",broad,nyc,4,https://www.eventbrite.com/e/nyc-cybersecurity-infosec-social-mixer-every-friday-7pm-tickets-1507681258229
2026-06-27T00:00:00+00:00,"Business, Branding & Technology - World Cup Networking Business Sessions",Eventbrite Atlanta Fintech,US,"1055 Howell Mill Road Northwest, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/business-branding-technology-world-cup-networking-business-sessions-tickets-1979945204405
2026-06-28T15:00:00+00:00,Community Crossover: Fitness x Tech Crawl👟❤️‍🔥💻,Luma Chicago Discover,US,"Real Authentic Wellness (R.A.W.) | Chicago, Chicago, Illinois, US",tech,broad,chicago,1,https://luma.com/30pgedh4
2026-06-29T00:00:00+00:00,"Health, Fitness, Beauty & Wellness Business Networking Mixer San Francisco",Eventbrite SF Fintech,US,"Casements Bar, 2351 Mission Street, San Francisco, CA, US","fintech, health",health,sf,20,https://www.eventbrite.com/e/health-fitness-beauty-wellness-business-networking-mixer-san-francisco-tickets-1990169892723
2026-06-29T00:00:00+00:00,"Health, Fitness, Beauty & Wellness Business Networking Mixer Chicago",Eventbrite Chicago Fintech,US,"Rye Deli + Drink, 25 South Halsted Street, Chicago, IL, US","fintech, health",health,chicago,9,https://www.eventbrite.com/e/health-fitness-beauty-wellness-business-networking-mixer-chicago-tickets-1990170036152
2026-06-30T00:00:00+00:00,"AI & Machine Learning Startups, Investors, Innovators Networking Mixer SF",Eventbrite SF Fintech,US,"557 Haight Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/ai-machine-learning-startups-investors-innovators-networking-mixer-sf-tickets-1990646228456
2026-06-30T00:00:00+00:00,Cybersecurity Summit: Minneapolis,CyberRisk Alliance Events,US,"Minneapolis, US","ciso, cyber, cybersecurity, risk, security",broad,other-us,11,https://www.cyberriskalliance.com/events
2026-06-30T00:00:00+00:00,"AI & Machine Learning Startups, Investors, Innovators Networking in Chicago",Eventbrite Chicago Fintech,US,"415 North Dearborn Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/ai-machine-learning-startups-investors-innovators-networking-in-chicago-tickets-1990646012811
2026-06-30T00:00:00+00:00,The Creativity Leap: A Celebration of the 2nd Edition,Eventbrite NYC Fintech,US,"44 W 4th Street, New York, NY, US",fintech,fintech,nyc,8,https://www.eventbrite.com/e/the-creativity-leap-a-celebration-of-the-2nd-edition-tickets-1990986633617
2026-07-01T00:00:00+00:00,"AI Tech Founders, Investors & Pitch Night by AstraTech I San Francisco",Eventbrite SF Fintech,US,"775 Frederick Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/ai-tech-founders-investors-pitch-night-by-astratech-i-san-francisco-tickets-1991276815559
2026-07-01T00:00:00+00:00,"AI Tech Founders, Investors & Pitch Night by AstraTech I Chicago",Eventbrite Chicago Fintech,US,"2137 West Walnut Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/ai-tech-founders-investors-pitch-night-by-astratech-i-chicago-tickets-1991290215639
2026-07-01T00:00:00+00:00,TechSpecialists: Global TechConnect for Data & AI Innovators - Atlanta,Eventbrite Atlanta Fintech,US,"TBD, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/techspecialists-global-techconnect-for-data-ai-innovators-atlanta-tickets-1990936141594
2026-07-01T19:00:00+00:00,The Unique Role of the IT Audit-Savvy Internal Auditors in Solving a Major Unmanaged Risk,ISACA San Francisco,Bay Area,,"risk, security",broad,sf,13,https://engage.isaca.org/sanfranciscochapter/events/recentcommunityeventsdashboard
2026-07-01T19:00:00+00:00,Patch Your Wallet : A Peer Personal Finance Learning Session for Cyber Professionals,Tejas Cyber Network,US,https://luma.com/tejas-hbkq,"ciso, cyber, security",fintech,other-us,6,https://luma.com/tejas-hbkq
2026-07-02T00:00:00+00:00,CyberSpecialists: Elevate Your Career at CyberConnect - Global Networking & Growth - San Francisco,Eventbrite SF Cybersecurity,US,"TBD, San Francisco, CA, US","cyber, cybersecurity, security",broad,sf,14,https://www.eventbrite.com/e/cyberspecialists-elevate-your-career-at-cyberconnect-global-networking-growth-san-francisco-tickets-1990974100129
2026-07-02T00:00:00+00:00,CyberSpecialists: CyberConnect - Unlocking Your Cyber Future - Atlanta,Eventbrite Atlanta Cybersecurity,US,"TBD, Atlanta, GA, US","cyber, cybersecurity, security",broad,atlanta,3,https://www.eventbrite.com/e/cyberspecialists-cyberconnect-unlocking-your-cyber-future-atlanta-tickets-1990974080069
2026-07-02T00:00:00+00:00,CyberSpecialists: Elevate Your Expertise at CyberConnect - Chicago,Eventbrite Chicago Cybersecurity,US,"TBD, Chicago, IL, US","cyber, cybersecurity, security",broad,chicago,3,https://www.eventbrite.com/e/cyberspecialists-elevate-your-expertise-at-cyberconnect-chicago-tickets-1990971276684
2026-07-07T00:00:00+00:00,SF Women in Tech: Founders & Professionals Networking Night,Eventbrite SF Fintech,US,"1160 Polk Street, San Francisco, CA, US",fintech,fintech,sf,19,https://www.eventbrite.com/e/sf-women-in-tech-founders-professionals-networking-night-tickets-1990781858128
2026-07-07T00:00:00+00:00,BioTech Fermenter: Chicago's Biotechnology Meetup,Eventbrite Chicago Fintech,US,"2137 West Walnut Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/biotech-fermenter-chicagos-biotechnology-meetup-tickets-1990818887885
2026-07-07T00:00:00+00:00,Chicago Women in Tech: Founders & Professionals Networking Night,Eventbrite Chicago Fintech,US,"1925 West Cortland Street, Chicago, IL, US",fintech,fintech,chicago,8,https://www.eventbrite.com/e/chicago-women-in-tech-founders-professionals-networking-night-tickets-1990781280400
2026-07-07T00:00:00+00:00,NYC Women in Tech: Founders & Professionals Networking Night,Eventbrite NYC Fintech,US,"14 East 33rd Street, New York, NY, US",fintech,fintech,nyc,8,https://www.eventbrite.com/e/nyc-women-in-tech-founders-professionals-networking-night-tickets-1990780745801
2026-07-07T21:00:00+00:00,"Careers & Conversations | July 07, 2026 | @ 4 PM CT",ISACA Chicago,US,,"risk, security",broad,other-us,5,https://engage.isaca.org/chicagochapter/events/calendar
2026-07-08T00:00:00+00:00,"Chicago Healthcare, Pharma & Business Networking Event",Eventbrite Chicago Healthcare,US,"112 West Hubbard Street, Chicago, IL, US","health, healthcare",health,chicago,9,https://www.eventbrite.ca/e/chicago-healthcare-pharma-business-networking-event-tickets-1990807738537
2026-07-08T00:00:00+00:00,Healthcare and Business Networking | Elevating Your Potential -Lincoln Park,Eventbrite Chicago Healthcare,US,"950 West Wrightwood Avenue, Chicago, IL, US","health, healthcare",health,chicago,9,https://www.eventbrite.com/e/healthcare-and-business-networking-elevating-your-potential-lincoln-park-tickets-1989847355004
2026-07-08T00:00:00+00:00,Women + Tech Meetup,Eventbrite Atlanta Fintech,US,"3423 Piedmont Road Northeast, Atlanta, GA, US",fintech,fintech,atlanta,8,https://www.eventbrite.com/e/women-tech-meetup-tickets-1979762620291
2026-07-09T00:00:00+00:00,CISO Stories: AI Security (Black Hat Preview),CyberRisk Alliance Events,US,Online,"ai security, ciso, cyber, risk, security",broad,other-us,14,https://www.cyberriskalliance.com/events
2026-07-09T16:00:00+00:00,July Tech Square Game Day + Lunch,Luma Atlanta Discover,US,"Biltmore Innovation Center, Atlanta, Georgia, US",tech,broad,atlanta,1,https://luma.com/ygomjain
